Business Name,Industry/Category,Address,Street Name,City,State,ZIP,Phone Number,Email,Website,Rating,Number of Reviews,Price Range,Business Hours,Business URL,Scrape Date
KHB Construction,N/A,"2751 Lassiter LnTurlock, CA 95380",2751 Lassiter LnTurlock,CA 95380,N/A,N/A,(209) 852-8149,N/A,/biz_redir?url=https%3A%2F%2Fkitchenhomeandbath.com&cachebuster=1744560320&website_link_type=website&src_bizid=tClmx45bohLrIKi5SQCtBw&s=5cb66d92fd6546b61a9a73be77e5d6069da82926012267fc6e7af124495ba3a8,4.6 star rating,N/A,N/A,N/A,https://www.yelp.com/biz/khb-construction-turlock-3?osq=swimming+pool+contractors&override_cta=Request+quote+%26+availability,2025-04-13
KHB Construction,N/A,"2751 Lassiter LnTurlock, CA 95380",2751 Lassiter LnTurlock,CA 95380,N/A,N/A,(209) 852-8149,N/A,/biz_redir?url=https%3A%2F%2Fkitchenhomeandbath.com&cachebuster=1744560342&website_link_type=website&src_bizid=tClmx45bohLrIKi5SQCtBw&s=1c72db74955fd71beeee33b9762e5187e4f60850ea99ff73ea15bc7da9750461,4.6 star rating,N/A,N/A,N/A,https://www.yelp.com/biz/khb-construction-turlock-3?hrid=FmC75VDSDd4kMIMyUroMzQ&osq=swimming+pool+contractors,2025-04-13
Advantage Pools & Service,N/A,"1352 E Goshen AveFresno, CA 93729",1352 E Goshen AveFresno,CA 93729,N/A,N/A,(559) 313-8400,N/A,/biz_redir?url=http%3A%2F%2Fwww.advantagepoolsfresno.com&cachebuster=1744560361&website_link_type=website&src_bizid=PwdT0WazKRt1nkAE_TdGuQ&s=2c28c14db5b98509b84446c75f6941b09fefb5b56cd8b51e1449bb28b67046f9,4.4 star rating,N/A,N/A,N/A,https://www.yelp.com/biz/advantage-pools-and-service-fresno?osq=swimming+pool+contractors&override_cta=Request+quote+%26+availability,2025-04-13
Advantage Pools & Service,N/A,"1352 E Goshen AveFresno, CA 93729",1352 E Goshen AveFresno,CA 93729,N/A,N/A,(559) 313-8400,N/A,/biz_redir?url=http%3A%2F%2Fwww.advantagepoolsfresno.com&cachebuster=1744560380&website_link_type=website&src_bizid=PwdT0WazKRt1nkAE_TdGuQ&s=f4348fe4c8b236c4d621afec2506513b15fa39542babfe5f515a4b91d0c7a23d,4.4 star rating,N/A,N/A,N/A,https://www.yelp.com/biz/advantage-pools-and-service-fresno?osq=swimming+pool+contractors&override_cta=Request+quote+%26+availability,2025-04-13
Advantage Pools & Service,N/A,"1352 E Goshen AveFresno, CA 93729",1352 E Goshen AveFresno,CA 93729,N/A,N/A,(559) 313-8400,N/A,/biz_redir?url=http%3A%2F%2Fwww.advantagepoolsfresno.com&cachebuster=1744560403&website_link_type=website&src_bizid=PwdT0WazKRt1nkAE_TdGuQ&s=fa3eea376491ec41a053fd69632992b91da4ddabf4c452d2ced1b4b11d00cdb5,4.4 star rating,N/A,N/A,N/A,https://www.yelp.com/biz/advantage-pools-and-service-fresno?hrid=KfG9S-gjGPa4XuNwAoKvgA&osq=swimming+pool+contractors,2025-04-13
Advanced Tile Cleaning,N/A,N/A,N/A,N/A,N/A,N/A,(559) 352-0029,N/A,/biz_redir?url=http%3A%2F%2Fwww.clovisswimmingpool.com&cachebuster=1744560430&website_link_type=website&src_bizid=NKHBdFGzYiIT10ZTAts3-w&s=4475008641801554d58bfd6f2e5dbe5cd630f684707f9874ff927a7ed9d55388,4.6 star rating,N/A,N/A,N/A,https://www.yelp.com/biz/advanced-tile-cleaning-clovis?osq=swimming+pool+contractors&override_cta=Request+quote+%26+availability,2025-04-13
Advanced Tile Cleaning,N/A,N/A,N/A,N/A,N/A,N/A,(559) 352-0029,N/A,/biz_redir?url=http%3A%2F%2Fwww.clovisswimmingpool.com&cachebuster=1744560456&website_link_type=website&src_bizid=NKHBdFGzYiIT10ZTAts3-w&s=f10b8f4775390cda2c650ecb612676b9be4be5c6bf6d2971027a6f41df4fa394,4.6 star rating,N/A,N/A,N/A,https://www.yelp.com/biz/advanced-tile-cleaning-clovis?osq=swimming+pool+contractors&override_cta=Request+quote+%26+availability,2025-04-13
Advanced Tile Cleaning,N/A,N/A,N/A,N/A,N/A,N/A,(559) 352-0029,N/A,/biz_redir?url=http%3A%2F%2Fwww.clovisswimmingpool.com&cachebuster=1744560471&website_link_type=website&src_bizid=NKHBdFGzYiIT10ZTAts3-w&s=11e980931756569bab24caac71f0c302b5baba824059e4ce3c370bc14c47643a,4.6 star rating,N/A,N/A,N/A,https://www.yelp.com/biz/advanced-tile-cleaning-clovis?hrid=bSD1lrjcV16U5pwj7MUZag&osq=swimming+pool+contractors,2025-04-13
ProPatio by Weber Construction,N/A,"Clovis, CA 93612",Clovis,CA 93612,N/A,N/A,(559) 999-4687,N/A,/biz_redir?url=http%3A%2F%2Fwww.propatio.net&cachebuster=1744560493&website_link_type=website&src_bizid=j1g0j46AZikc67uNvyOSBQ&s=716aa53e2c6f88ef31600ce00bdac1fe92b6636fbac4ed6fe22cb91eb5fc3f87,4.6 star rating,N/A,N/A,N/A,https://www.yelp.com/biz/propatio-by-weber-construction-clovis?osq=swimming+pool+contractors&override_cta=Request+quote+%26+availability,2025-04-13
ProPatio by Weber Construction,N/A,"Clovis, CA 93612",Clovis,CA 93612,N/A,N/A,(559) 999-4687,N/A,/biz_redir?url=http%3A%2F%2Fwww.propatio.net&cachebuster=1744560513&website_link_type=website&src_bizid=j1g0j46AZikc67uNvyOSBQ&s=99d175c0adeeb563e2da4cc369fdffba187fc69c8d9fb20cfbce36087cc18645,4.6 star rating,N/A,N/A,N/A,https://www.yelp.com/biz/propatio-by-weber-construction-clovis?osq=swimming+pool+contractors&override_cta=Request+quote+%26+availability,2025-04-13
ProPatio by Weber Construction,N/A,"Clovis, CA 93612",Clovis,CA 93612,N/A,N/A,(559) 999-4687,N/A,/biz_redir?url=http%3A%2F%2Fwww.propatio.net&cachebuster=1744560536&website_link_type=website&src_bizid=j1g0j46AZikc67uNvyOSBQ&s=f4d04b6c2f7344cead2771367c458de91f1c399486b16dfc2d807726e664611b,4.6 star rating,N/A,N/A,N/A,https://www.yelp.com/biz/propatio-by-weber-construction-clovis?hrid=_Wk58Xof1RYRWLimUzonIw&osq=swimming+pool+contractors,2025-04-13
Yanez Construction,N/A,"42992 Road 52Reedley, CA 93654",42992 Road 52Reedley,CA 93654,N/A,N/A,(559) 638-6644,N/A,/biz_redir?url=http%3A%2F%2Fyanezconstruction.com&cachebuster=1744560553&website_link_type=website&src_bizid=-JFy-wA6Qnm555-xWPBTSw&s=f2f6c3147beae2fa47b43bd190221edcc12320cd56c89136b3538f15d0d05bcb,3.5 star rating,N/A,N/A,N/A,https://www.yelp.com/biz/yanez-construction-reedley?osq=swimming+pool+contractors&override_cta=Request+quote+%26+availability,2025-04-13
Yanez Construction,N/A,"42992 Road 52Reedley, CA 93654",42992 Road 52Reedley,CA 93654,N/A,N/A,(559) 638-6644,N/A,/biz_redir?url=http%3A%2F%2Fyanezconstruction.com&cachebuster=1744560576&website_link_type=website&src_bizid=-JFy-wA6Qnm555-xWPBTSw&s=0a79699755c574eec3333f48f2726730600faba221f745abfa8b34ab5d43f271,3.5 star rating,N/A,N/A,N/A,https://www.yelp.com/biz/yanez-construction-reedley?osq=swimming+pool+contractors&override_cta=Request+quote+%26+availability,2025-04-13
Yanez Construction,N/A,"42992 Road 52Reedley, CA 93654",42992 Road 52Reedley,CA 93654,N/A,N/A,(559) 638-6644,N/A,/biz_redir?url=http%3A%2F%2Fyanezconstruction.com&cachebuster=1744560596&website_link_type=website&src_bizid=-JFy-wA6Qnm555-xWPBTSw&s=d5cc596f4518d0157fe4362f08032473fb32a82e4bc0696d7a241636a4b1526e,3.5 star rating,N/A,N/A,N/A,https://www.yelp.com/biz/yanez-construction-reedley?hrid=KI-3CjqyflieUyZ9P7_mVA&osq=swimming+pool+contractors,2025-04-13
R&B Framing,N/A,N/A,N/A,N/A,N/A,N/A,(279) 600-8919,N/A,/biz_redir?url=https%3A%2F%2Frbframinginc.net&cachebuster=1744560617&website_link_type=website&src_bizid=6YBZLMBZ2jdNsLJ8AqB17g&s=be586160af4e302e1b3dd06f7684c18bee3687be2416aa6f1bd00afe164d992d,4.5 star rating,N/A,N/A,"Thu, Nov 27, 2025, Closed, Thu, Dec 25, 2025, Closed",https://www.yelp.com/biz/r-and-b-framing-sacramento-4?osq=swimming+pool+contractors&override_cta=Request+quote+%26+availability,2025-04-13
R&B Framing,N/A,N/A,N/A,N/A,N/A,N/A,(279) 600-8919,N/A,/biz_redir?url=https%3A%2F%2Frbframinginc.net&cachebuster=1744560641&website_link_type=website&src_bizid=6YBZLMBZ2jdNsLJ8AqB17g&s=ee4d18d9ac53a2aecf773dc9f4f82b688f4978e6217300efd6cba233649bdf45,4.5 star rating,N/A,N/A,"Thu, Nov 27, 2025, Closed, Thu, Dec 25, 2025, Closed",https://www.yelp.com/biz/r-and-b-framing-sacramento-4?osq=swimming+pool+contractors&override_cta=Request+quote+%26+availability,2025-04-13
R&B Framing,N/A,N/A,N/A,N/A,N/A,N/A,(279) 600-8919,N/A,/biz_redir?url=https%3A%2F%2Frbframinginc.net&cachebuster=1744560658&website_link_type=website&src_bizid=6YBZLMBZ2jdNsLJ8AqB17g&s=5e3a1d47e34bf39250364856ba6df7a0d97d4e8e3ab53c788b77f574fd246a6c,4.5 star rating,N/A,N/A,"Thu, Nov 27, 2025, Closed, Thu, Dec 25, 2025, Closed",https://www.yelp.com/biz/r-and-b-framing-sacramento-4?hrid=rm81PwSxCmi9V-wAjI-2og&osq=swimming+pool+contractors,2025-04-13
Land Shark Pool and Backyard Living,N/A,"Clovis, CA 93611",Clovis,CA 93611,N/A,N/A,(559) 779-3500,N/A,/biz_redir?url=http%3A%2F%2Flandsharkpools.ca&cachebuster=1744560676&website_link_type=website&src_bizid=RKokmRa0XPBNR_ii1TaGhA&s=f66f2e02decaa935598cfabb0234ec9ad873a4ec628c99b24270a1a841da369f,2.7 star rating,N/A,N/A,N/A,https://www.yelp.com/biz/land-shark-pool-and-backyard-living-clovis-2?osq=swimming+pool+contractors&override_cta=Request+quote+%26+availability,2025-04-13
Land Shark Pool and Backyard Living,N/A,"Clovis, CA 93611",Clovis,CA 93611,N/A,N/A,(559) 779-3500,N/A,/biz_redir?url=http%3A%2F%2Flandsharkpools.ca&cachebuster=1744560709&website_link_type=website&src_bizid=RKokmRa0XPBNR_ii1TaGhA&s=1486a44b6678720fd87450cd72f2ea487ee442b636106ede17b6716d73b3352a,2.7 star rating,N/A,N/A,N/A,https://www.yelp.com/biz/land-shark-pool-and-backyard-living-clovis-2?osq=swimming+pool+contractors&override_cta=Request+quote+%26+availability,2025-04-13
