"Business Name","LinkedIn Link","Company Website","Company Size","Industry","Headquarters","Founded","Specialties","Location Match"
"ProTrainings","https://www.linkedin.com/company/protrainings-europe-limited/","https://static.licdn.com/aero-v1/sc/h/akt4ae504epesldzj74dzred8","Not found","Wellness and Fitness Services","Not found","Not found","Not found","Location matched"
"TOPYX","https://www.linkedin.com/company/topyx%C2%AE-learning-management-system/","https://static.licdn.com/aero-v1/sc/h/akt4ae504epesldzj74dzred8","11-50 employees","Software Development","Bonita Springs, Florida","1995","Not found","Location matched"
"Forio","https://www.linkedin.com/company/forio/","http://forio.com","21 associated members","Technology, Information and Internet","San Francisco, CA","2001","simulations, visualization, games, predictive analytics, and training simulations","Location matched"
"Center for Athletic Performance Enhancement","","","","","","","","Error: Message: stale element reference: stale element not found"
"The Violet Group","https://www.linkedin.com/company/violetgroup/","https://violet-group.com/","11-50 employees","Events Services","Bonn, North Rhine-Westphalia","2015","Not found","Location matched"
"TechChange","","","","","","","","Error: Message: stale element reference: stale element not found"
"AXIOM Learning Solutions","https://www.linkedin.com/company/axiom-learning-solutions-llc/","https://axiomlearningsolutions.com","26 associated members","Website","Westborough, Massachusetts","2002","Outsourced Learning Solutions, Training, Development, Design, CRM, Proprietary Systems, Train The Trainer, ERP, SAP, Salesforce.com, Instructional Design, Microsoft, Virtual Instructor Led Training, e-learning, Social Learning, Mobile Learning, LMS, and Contigent Workforce","Location matched"
"PM-Prolearn","https://www.linkedin.com/company/pmprolearn/about","https://www.pm-prolearn.com","25 associated members","Not found","Frederick, Maryland","","Agile, Project Management, Project Management Professional (PMP), Agile Certified Practitioner (PMI-ACP), Certified Associate in Project Management (CAPM), Lean Six Sigma Green Belt (LSSGB), Certified Change Management Professional (CCMP), Corporate Training, Professional Development, Employee Training, Upskilling, and Reskilling","Location matched"
"Unboxed Training & Technology","https://www.linkedin.com/company/unboxed-technology-llc/","https://unboxedtechnology.com","58 associated members","Website","Richmond, Virginia","2009","e-Learning, LMS, Sales training, Animation, Training design, mobile learning, Learning Management System, video production, Sales Enablement, guided selling, Custom Training, Employee Onboarding Training, SaaS, Custom Software, Employee Training, Coaching, sales readiness, leadership training, LXP, and Learning Experience","Location matched"
"Paralegal Boot Camp","https://www.linkedin.com/company/paralegal-bootcamp/","https://paralegal-bootcamp.com","3 associated members","Professional Training and Coaching","Melbourne, Florida","2010","coaching, training, e-learning, litigation, paralegal training, paralegal profitability, billable hours, eDiscovery, trial prep, and paralegals","Location matched"
"CATCH Global Foundation","","","","","","","","Error: Message: stale element reference: stale element not found"
"Feynman School","https://www.linkedin.com/company/feynman-school/","http://Feynmanschool.org","10 associated members","Primary and Secondary Education","Potomac, Maryland","2009","Not found","Location matched"
"Lake Forrest Preparatory School","https://www.linkedin.com/company/lake-forrest-preparatory-school-incorporated/","http://lakeforrestprep.com","8 associated members","Not found","MAITLAND, Florida","Not found","Not found","Location matched"
"Kids in the Game","https://www.linkedin.com/company/kingkids/","https://kidsinthegame.com/the-foundation/","4 associated members","Health, Wellness & Fitness","New York, New York","2017","Not found","Location matched"
"San Francisco Gymnastics","https://www.linkedin.com/company/san-francisco-gymnastics/","http://www.sanfranciscogymnastics.com","9 associated members","Accounting","San Francisco, California","Not found","Not found","Location matched"
"Fountain Valley Montessori","https://www.linkedin.com/company/american-montessori-society/","http://www.amshq.org","166 associated members","Education Administration Programs","Not found","1960","Education and Montessori Method","Location matched"
"Crouching Tigers","https://www.linkedin.com/company/crouching-tigers-international-inc/","https://static.licdn.com/aero-v1/sc/h/akt4ae504epesldzj74dzred8","Not found","Civic and Social Organizations","Fishers, Indiana","Not found","Not found","Location matched"
"Dignity of children","https://www.linkedin.com/company/dignityofchildreninc/","http://www.dignityofchildren.com","10 associated members","E-Learning Providers","New York, NY","2008","Professional Development for Direct service staff, Leadership & Management Training for After School Directors, Project based Learning Design, Family Matter NY: Empowering Families as One, Social/Emotional Learning, Stewards of Children, PBL, Project-Based Learning, online learning, 21st century skills, youth development, education, k12, emotional intelligence training, curriculum, social entrepreneurship, and Emotional Intelligence","Location matched"
"Excelldance","","","","","","","","No results found"
"Fairlawn Swim & Tennis Court","https://www.linkedin.com/company/fairlawn-swim-&-tennis-court/","https://static.licdn.com/aero-v1/sc/h/akt4ae504epesldzj74dzred8","2-10 employees","Not found","Akron, Ohio","Not found","Not found","Location matched"
"Hawk Meadow Montessori","https://www.linkedin.com/company/hawk-meadow-montessori-school-foundation-inc/","https://static.licdn.com/aero-v1/sc/h/akt4ae504epesldzj74dzred8","Not found","Non-profit Organizations","Lagrangeville, New York","Not found","Not found","Location matched"
"Stars Gymnastics Training Center","https://www.linkedin.com/company/stars-gymnastics-training-center-booster-club/","https://static.licdn.com/aero-v1/sc/h/akt4ae504epesldzj74dzred8","Not found","Spectator Sports","Houston, Texas","1997","Not found","Location matched"
"Quantum Academy","https://www.linkedin.com/company/quantum-physics-for-kids/","http://www.quantumphysicsforkids.com","6 associated members","Primary and Secondary Education","Berkeley, California","Not found","STEM education, physics education, science education, engineering education, invention education, K-12, and STEM learning","Location matched"
"Railyard Fitness","https://www.linkedin.com/company/nutrifitness-kids-&-teens/","http://nutritiesifitness.ro/","2-10 employees","Health, Wellness & Fitness","Constanta, Constanta","2016","Sport Copii, Consiliere Nutritionala, Cursuri Fitness, Diete Personalizate, Seminarii Nutritie, Petreceri Copii, and Scoala de Vara","Location matched"
"Seattle Learning Center","https://www.linkedin.com/company/seattle-elc/","https://www.seattle-elc.com/","11 associated members","Primary and Secondary Education","Seattle, Washington","2017","Preschool, Early Childhood Education/ECE, Licensed Preschool, Childcare, and Comprehensive Curriculum","Location matched"
"Stumpf's Gymnastics Center","","","","","","","","No results found"
"Maven Analytics","https://www.linkedin.com/company/maven-wave-partners/","http://www.mavenwave.com","370 associated members","IT Services and IT Consulting","Chicago, Illinois","Not found","Management Consulting, Cloud Solutions, Mobile & Apps, Data Analytics, User Experience, Design, and Agile Delivery","Location matched"
"Mike Holt Enterprises","https://www.linkedin.com/company/mike-holt-enterprises-inc/","https://linktr.ee/MikeHoltEnterprises","27 associated members","Not found","Not found","1975","Electrical Continuing Education, Electrical Apprenticeship Resources, Electrical Exam Preparation, and NEC Training","Location matched"
"Transformation Academy","https://www.linkedin.com/company/transformation-academy-nz/","https://www.transformationacademy.org.nz/","15 associated members","Education","Auckland, Northcote","Not found","Not found","Location matched"
"Dion Training","https://www.linkedin.com/company/diontraining/","https://www.diontraining.com","28 associated members","E-Learning Providers","Orlando, Florida","Not found","cybersecurity, project management, IT service management, cloud, cybersecurity training, discounted exam vouchers, CompTIA, and ITIL 4 Foundation","Location matched"
"Ninja Tropic E-learning","","","","","","","","Error: Message: stale element reference: stale element not found"
"ABA Technologies","https://www.linkedin.com/company/aba-technologies-inc./","http://abatechnologies.com/","95 associated members","E-Learning Providers","Melbourne, Florida","1997","Professional Development, Instructional Design, Continuing Education, Exam Prep, Graduate Training, BCaBA Certification Sequence, BCBA Certification Sequence, RBT Online Courses, CE Credits, OBM Certificate Program, OBM Masters Program, ABA Online Courses, Professional Training & Coaching, Applied Behavior Analysis, Organizational Behavior Management, Online Professional Education, Performance Improvement, OBM Applied, Curriculum Development, and Instruction Technology","Location matched"
"WIldsparq","https://www.linkedin.com/company/wildsparq/","https://www.wildsparq.com/","22 associated members","Professional Training and Coaching","Birmingham, Alabama","2016","Leadership Development, Employee Engagement, Succession Planning, and Teambuilding","Location matched"
"OnLine Training Institute","https://www.linkedin.com/company/shanaya-training-institute-pvt-ltd/","http://shanayatraining.com","6 associated members","Website","Chapra, Bihar","2021","Not found","Location matched"
"Gemba Academy","https://www.linkedin.com/company/gemba-academy-llc/","http://www.gembaacademy.com","31 associated members","E-Learning Providers","Keller, TX","2008","lean manufacturing, six sigma, lean enterprise, and training","Location matched"
"Re:Coded","https://www.linkedin.com/company/re-coded/","http://www.re-coded.com","38 associated members","Education","Not found","2017","technology, design, edtech, bootcamp, 21st century skills, coding, Learning how to code, AI, career development, digital skills, tech for good, social impact, future of work, skill building, tech inclusion, career tech, tech education, coding bootcamp, design bootcamp, and empower youth","Location matched"
"Investment Banking Institute","https://www.linkedin.com/company/investment-banking-institute/","http://www.ibanking.com","55 associated members","Professional Training and Coaching","Newtown, Pennsylvania","2003","Investment banking, corporate finance, private equity, education, training, Finance, financial education, financial training, and professional development","Location matched"
"Focus Personal Training Institute","https://www.linkedin.com/company/fpti/","https://www.fpti.edu","34 associated members","Not found","New York, NY","2010","Personal training certification, personal training school, Personal training education, Adult Education, Fitness, Higher Education, and Vocational Education","Location matched"
"Blue Ocean Brain","https://www.linkedin.com/company/blue-ocean-brain/","https://www.BlueOceanBrain.com","33 associated members","E-Learning Providers","Glen Allen, Virginia","2010","Brain Performance, Critical Thinking & Creativity, NeuroLeadership, Learning and Development, Organizational Development, People, Culture & Performance, Communications, Innovation, Micro-Learning, eLearning, Microlearning, Diversity & Inclusion, Leadership Development, Onboarding, Microlearning, and Gamification","Location matched"
"Content Enablers LLC","https://www.linkedin.com/company/contentenablers/","http://www.contentenablers.com","44 associated members","E-Learning Providers","Saratoga Springs, NY","2000","Import and Export Controls, Global Trade Compliance training for 23 countries, Sanctions and Embargoes, Anti-Corruption, Anti-Money Laundering, Anti-Boycott, elearning, Trade Compliance Training, Import Compliance Training, Export Compliance Training, EAR Training, and ITAR Training","Location matched"
"Computer Coach IT Training","https://www.linkedin.com/company/computercoach/","https://www.ComputerCoach.com","51 associated members","Not found","Tampa, FL","1992","Technical Training, Microsoft Training, Cisco Training, CompTIA Training, Front End Dev Training, Full Stack Dev Training, Cyber Security Training, Adobe Training, Microsoft Office Training, Project Management Training, EC Council Training, Data Analytics Training, and Digital Marketing Training","Location matched"
"Language Trainers","https://www.linkedin.com/company/language-trainers/","https://www.languagetrainers.com/","548 associated members","Education Management","New York, NY","2004","Language training for companies and individuals (in-company and at home), We find the tutors other companies cannot find, 100% flexibility for our clients, and All languages offered in any location","Location matched"
"HigherEdJobs","https://www.linkedin.com/company/796731/","http://www.higheredjobs.com","236 associated members","Higher Education","State College, PA","1996","higher education, recruitment, career advice, hiring resources, job search, faculty, administration, research, executive, colleges, and universities","Location matched"
"Animation Mentor","https://www.linkedin.com/company/animation-mentor/","https://bit.ly/3vu0PpU","296 associated members","E-Learning Providers","New York, NY","","Animation, Education, Online Education, Positive, Personal Transformation, Mentor Model, storyboarding, game animation, creature animation, autodesk maya, tutoring, and visual development","Location matched"
"Academic Impressions","https://www.linkedin.com/company/hireed-careers/","https://hireed.com/","11-50 employees","Higher Education","Greenwood Village, Colorado","2021","Diversity, Equity, Inclusion, employment, Higher ed, Coaching, Professional Development, and Leadership","Location matched"
"Knowledge Anywhere","https://www.linkedin.com/company/knowledge-anywhere/","http://www.knowledgeanywhere.com","61 associated members","E-Learning Providers","Seattle, Washington","","Corporate eLearning Solutions, Learning & Development, Online Training, Virtual Classrooms, Learning Management Systems, eLearning Consulting, Course Development, Talent Management, L&D, Virtual Reality, corporate elearning, corporate training, training, eLearning, LMS, training platform, training solutions, content specialist, course development, and SCORM","Location matched"
"Obsidian Learning","https://www.linkedin.com/company/obsidian-technical-communications/","https://www.obsidianlearning.com","9 associated members","E-Learning Providers","Houston, Texas","1998","learning design, blended learning, mobile apps, performance support, graphic design, web development, animation, communications, change management, consulting, motion graphics, onboarding, learning portals, authoring tools, instructor-led training, learning management systems, elearning, and sharepoint","Location matched"
"PrepScholar","https://www.linkedin.com/company/prepscholaracademy/","https://nas.io/prepscholar-academy/products","11-50 employees","Not found","Not found","2024","Product Management, Management Consulting, Software Development, Full Stack Development, and App Development","Location matched"
"Coggno","https://www.linkedin.com/company/coggnocreate/","https://coggno.com/","2-10 employees","E-Learning Providers","San Jose, California","Not found","Not found","Location matched"
"Magna Publications","https://www.linkedin.com/company/magna-publications/","https://www.magnapubs.com/","37 associated members","Higher Education","Madison, WI","1972","newsletters, national conferences, online seminars, online courses, and higher education","Location matched"
"Allen Interactions","https://www.linkedin.com/company/allen-interactions/","http://www.alleninteractions.com","53 associated members","E-Learning Providers","Mendota Heights, MN","1993","Custom e-Learning, Blended Learning, Tools & Models, Mobile Learning, ELearning Games, Simulations, Learning Strategy, Flash to HTML5 Conversion, and Microlearning","Location matched"
"Bigger Brains","https://www.linkedin.com/company/bigger-brains-for-msps/","https://www.biggermsp.com/","11-50 employees","IT Services and IT Consulting","Anderson, South Carolina","2012","eLearning","Location matched"
"Assessment Systems Corporation","https://www.linkedin.com/company/assessment-systems-corporation/","https://assess.com","47 associated members","Not found","Stillwater, Minnesota","1979","Psychometrics, online testing, computerized adaptive testing, certification and accreditation, item response theory, test development, and educational assessment","Location matched"
"Excel Test Prep","https://www.linkedin.com/company/i-excel-test-prep-and-tutoring/","https://iexceltest.com/","2-10 employees","Education","Lafayette, La","Not found","Not found","Location matched"
"NextThought","https://www.linkedin.com/company/next-thought-studios/","http://www.nextthoughtstudios.com","2 associated members","Media Production","Norman, Oklahoma","2011","Animation, 3D Motion Graphics, TV Commercials, Drone Photography & Videography, Documentaries, Educational Videos, Training Videos, Interactive Videos, Event Videography, White Label Video Production, Live Streaming Video, Marketing Videos, Corporate Communication Videos, Creative Development, and Video Marketing","Location matched"
"Apollidon Learning","https://www.linkedin.com/company/apollidon-learning/","https://apollidon.com/","36 associated members","Education Administration Programs","Oldsmar, FL","2008","Market Research, Content Marketing, Student Support Services, Data Analytics, Brand Marketing, Public Relations, Lead Management, Conference Event Planning & Management, SEO, SEM, SMO, Website Development & Management, Mobile Strategies, Online Program Development, education marketing, and curriculum management","Location matched"
"HRDQ","https://www.linkedin.com/company/hrdq/","http://www.hrdq.com","34 associated members","Professional Training and Coaching","West Chester, Pennsylvania","1977","Assessments, Experiential Games, Simulations, Reproducible Training, Online courses, Virtual learning, Workshops, Programs, Online assessments, Communication, Teambuilding, Leadership, TrainingandDevelopment, Training, and Learning","Location matched"
"AcceptU","https://www.linkedin.com/company/acceptu/","http://www.AcceptU.com","49 associated members","Higher Education","Newton, MA","2009","Admissions, Higher Education, Admissions Consulting, Standardized Test Prep, and Academic Tutoring","Location matched"
"Marks Education","https://www.linkedin.com/company/marks-counseling-associates/","http://markseducation.com","Not found","Education Administration Programs","Bethesda, Maryland","Not found","Test Preparation, College Counseling, Academic Tutoring, Graduate School Admissions, and Application Essays","Location matched"
"Top Score Writing","https://www.linkedin.com/company/top-score-writing/","http://www.TopScoreWriting.com","11 associated members","E-Learning Providers","Pembroke Pines, Florida","2015","writing","Location matched"
"Victory Step Education","https://www.linkedin.com/company/victory-step/","http://www.victorypreptutors.com","15 associated members","Education","Dallas, TX","2010","SAT Prep, ACT Prep, Classroom Programs, Private Tutoring, Test Prep , GMAT Prep, Tutoring, College Admissions Consulting, and GRE Prep","Location matched"
"Ascend Education","https://www.linkedin.com/company/ascendeducationbrasil/","https://www.ascendeducation.com/","11-50 employees","E-learning","Provo, Utah","Not found","Not found","Location matched"
"Firat Education","https://www.linkedin.com/company/firat-educational-solutions-llc/","http://firateducation.com","2-10 employees","Not found","HOUSTON, Texas","Not found","Not found","Location matched"
"EdgePoint Learning","https://www.linkedin.com/company/edgepoint-llc-dba-edgepoint-learning/","https://static.licdn.com/aero-v1/sc/h/akt4ae504epesldzj74dzred8","2-10 employees","E-Learning Providers","Scottsdale, Arizona","Not found","Not found","Location matched"
"Galin Education","https://www.linkedin.com/company/galin-education/","http://www.galined.com","65 associated members","Education Administration Programs","Madison, WI","2011","College Admissions Consulting, Standardized Test Preparation, Academic Assistance and Tutoring, Homework Help, Special Education Advocacy, School Choice Consulting, and Program Development","Location matched"
"Hyperskill","https://www.linkedin.com/company/hyperskill-academy/","https://hyperskillacademy.com/","11-50 employees","Education","Not found","Not found","Not found","Location matched"
"BirdBrain Technologies","https://www.linkedin.com/company/birdbrain-technologies-llc/","http://www.birdbraintechnologies.com","10 associated members","Computers and Electronics Manufacturing","Pittsburgh, PA","Website","educational technology, computer science education, and robotics","Location matched"
"Brainscape","https://www.linkedin.com/company/brainscapenv/","http://www.brainscape.eu","3 associated members","Environmental Services","Schoten, Flemish Region","1998","Not found","Location matched"
